#dut|TYPE|DURATION_POST_TRIGGER_IN_SECONDS|CLEAR EVENT|ANNOTATION|args=none
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/11:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/11:1
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:1
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:2
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:3
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:4
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:5
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:6
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:7
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:2
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:3
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:4
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:5
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:6
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:1
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/31:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/31:1
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:7
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:4
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:5
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/51:1
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:6
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:7
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/4:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:1
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:3
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:2
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/16:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/16:1
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:1
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:2
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:3
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:4
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:5
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:6
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:7
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/51:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:4
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:5
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:6
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:7
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:1
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:2
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:3
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/41:0
r0|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/41:1
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/16
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/17
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:0
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:1
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:2
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:3
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:2
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:3
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/32
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/33
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:0
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:1
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/62
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:0
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:1
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:2
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:3
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/58:1
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:0
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:1
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:2
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/0:3
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/22
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/23
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:0
